,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_FON_15_UT,SEMAFORO
1238,DLTAB5553,MANATI 2,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.33424,18.07569,2019,3.915,10.0,32.75,1990.5,293.5,,73.4,,,,1.0,1.0,,,,,Amarillo
1239,DLTAB5554,MANATI 3,FRONTERA SUR,TABASCO,JONUTA,Chilapa,,LOTICO,,-92.30066,18.09384,2019,8.995,13.745,15.495,2861.0,241.5,,30.795,,,,1.0,1.0,,,,,Amarillo
1240,DLTAB5555,MANATI 4,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.30488,18.09933,2019,6.945,14.985,31.0,2146.5,102.0,,46.7,,,,1.0,1.0,,,,,Amarillo
1241,DLTAB5556,MANATI 5,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.35835,18.02775,2019,4.585,10.0,25.665,6845.5,2181.0,,60.05,,,,1.0,1.0,,,,,Amarillo
1242,DLTAB5557,MANATI 6,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.35786,18.03186,2019,3.085,10.0,16.355,2651.5,1415.5,,76.0,,,,1.0,1.0,,,,,Amarillo
1243,DLTAB5558,MANATI 7,FRONTERA SUR,TABASCO,JONUTA,Chilapa,,LOTICO,,-92.31493,17.95932,2019,3.215,23.445,11.745,3124.5,551.5,,53.15,,,,1.0,1.0,,,,,Amarillo
1244,DLTAB5559,MANATI 8,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.32552,17.8052,2019,2.695,10.0,15.75,1859.5,1013.5,,88.0,,,,1.0,1.0,,,,,Amarillo
1245,DLTAB5560,MANATI 9,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.31082,18.00212,2019,3.825,19.315,10.0,7928.0,175.0,,24.845,,,,1.0,1.0,,,,,Amarillo
1246,DLTAB5561,MANATI 10,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.3076,17.92084,2019,4.725,10.0,12.665,1734.5,380.0,,27.0,,,,1.0,1.0,,,,,Amarillo
1247,DLTAB5562,MANATI 11,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.23665,17.86673,2019,14.195,15.83,11.495,8794.0,6564.5,,30.25,,,,1.0,1.0,,,,,Amarillo
1248,DLTAB5563,MANATI 12,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.25317,17.83635,2019,4.345,14.705,24.585,6992.5,6572.5,,71.65,,,,1.0,1.0,,,,,Amarillo
1249,DLTAB5564,MANATI 13,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.3957,18.03142,2019,3.715,10.0,26.83,1295.5,262.0,,78.85,,,,1.0,1.0,,,,,Amarillo
1250,DLTAB5565,MANATI 14,FRONTERA SUR,TABASCO,MACUSPANA,Chilapa,,LOTICO,,-92.323,18.06031,2019,10.745,11.365,10.0,2025.5,191.0,,10.0,,,,1.0,1.0,,,,,Amarillo
1251,DLTLA2543,AF-6 BARRANCA ATLAPLITZ,BALSAS,TLAXCALA,TENANCINGO,RIO ALTO ATOYAC,BARRANCA ATLAPITZ,LOTICO A - Tipo 1,RIO,-98.22425,19.13814,2019,45.7,132.62,42.0,24196.0,24196.0,,27.3,,,,1.0,1.85,,,,,Rojo
